Analytes,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,AD_Estimate,AD_pvalue,AD_FDR,PD_Estimate,PD_pvalue,PD_FDR,FTD_Estimate,FTD_pvalue,FTD_FDR,DLB_Estimate,DLB_pvalue,DLB_FDR
X10521.10,Matrix-remodeling-associated protein 8:Extracellular domain,MXRA8:ECD,Q9BRK3,54587,MXRA8,-0.231000965701643,1.6227698714185e-12,1.99243134721281e-11,0.0964061002082412,0.000439250419760571,0.00180177239000316,0.245350589850814,0.0023606154808747,0.006526831505136,0.185525817486261,0.0379079952425261,0.115574712768038
X11368.32,"Adenylate kinase 2, mitochondrial",KAD2,P54819,204,AK2,0.239703416326621,3.37347094299149e-09,2.86152500129161e-08,0.284903684429002,4.73194049804943e-16,1.99291726557384e-14,0.901863957820619,3.38047701379268e-16,4.37288847998467e-14,0.539552128045178,6.27347021526359e-06,0.000180489754653333
X11425.31,RUN and FYVE domain-containing protein 1,RUFY1,Q96T51,80230,RUFY1,0.150830013853279,0.00591721986560643,0.0142881135688177,0.0575500695419367,0.177336632338471,0.278298649189749,-0.0137924867554309,0.922359219927087,0.946666221188979,0.0579634207879644,0.709292597094491,0.819214855445232
X8535.102,Dermokine,Dermokine,Q6E0U4,93099,DMKN,0.11723429223083,0.0331600632132671,0.0638181450363728,0.0432774649367575,0.30775990494122,0.429393827310131,0.322781344843532,0.0202446205210545,0.0419965724669298,0.115292784406517,0.455238683081738,0.622783100930304
X5648.28,Chymotrypsinogen B2,CTRB2,Q6GPI1,440387,CTRB2,-0.130403722576128,0.0200690125301516,0.0413245954429842,-0.0988014168972588,0.0675284875573836,0.12712483468443,-0.195385692613091,0.17913780175356,0.260577155803772,-0.0318242781165666,0.846715493143839,0.90759571609883
X9333.59,Endoplasmic reticulum resident protein 27,ERP27,Q96DN0,121506,ERP27,-0.223525798692735,0.000109138540770651,0.000416105047022419,-0.0793824948164157,0.0943673675809035,0.166568521139392,-0.345936111576229,0.0210235755027211,0.0433009711978473,0.0498036886866752,0.759996731074854,0.852495558982075
X5888.29,Eukaryotic translation initiation factor 5A-1,eIF-5A-1,P63241,1984,EIF5A,0.0705297999429933,0.218155372376991,0.306619619227575,0.186363266918179,0.000231643608417713,0.00103423216741291,0.494609979232204,0.00100355369443059,0.00312006135727692,-0.0182331405986542,0.907693419731246,0.947454053679128
X13969.24,Importin subunit alpha-7,IMA7,O60684,23633,KPNA6,0.0448308653444224,0.385493429043933,0.483468559555791,0.0617674659895626,0.162246349669416,0.258310452089066,0.636163099252082,2.33719792183114e-05,0.000119905536442951,0.346645382625159,0.0248902285374682,0.0857777428760323
X7247.1,RAB6-interacting golgin,GORAB,Q5T7V8,92344,GORAB,-0.189562185776951,0.000850421802883659,0.00258625337535232,-0.206990570676896,6.66765233338137e-06,4.5480671848413e-05,-0.962700277419663,3.75258286295706e-11,9.5047937969444e-10,-0.519220832237754,0.00121348327047658,0.00931194153742835
X14203.3,Annexin A7,ANXA7,P20073,310,ANXA7,0.0913180007387529,0.0885167070651116,0.145005659425524,0.202280297764697,1.44649613420489e-05,9.07889463607454e-05,0.0698114097341158,0.622257053417166,0.701249236925008,0.198451231262725,0.184345997642101,0.34649777034753
X3844.2,Peptidyl-prolyl cis-trans isomerase A,Cyclophilin A,P62937,5478,PPIA,0.467353403622801,9.83278323062083e-21,2.22589630383179e-19,0.333529205123554,8.38431565380068e-17,3.89333221770078e-15,0.103727714791664,0.40060270464655,0.498106074915827,0.327108813361091,0.019436032259096,0.0730262539859396
X8818.13,Interferon gamma receptor 2:Cytoplasmic domain,INGR2:CD,P38484,3460,IFNGR2,-0.208742913604169,0.000105550208892839,0.000404125641236643,-0.106954385758946,0.0175485029744838,0.0423173620330096,-0.699291032935266,1.42938523015613e-07,1.36582998272159e-06,-0.287005257259578,0.0569571684618608,0.155941396064106
X11107.25,Teneurin-3,TEN3,Q9P273,55714,TENM3,0.101211201699923,0.0431979384228562,0.0794228086129874,0.170862751116943,2.75112043422596e-05,0.000158671309120485,0.43069097471582,0.000539971910857773,0.0018438788468919,0.331488109491196,0.0165895428596372,0.0651000262595946
X8424.269,Catenin beta-1,b-Catenin,P35222,1499,CTNNB1,-0.236388858965359,2.92785808907574e-08,2.18653649456336e-07,-0.171492977477846,7.59752708924908e-06,5.07716662680077e-05,-0.381737037697626,0.000979155140786451,0.00306260787558595,-0.0754749810905968,0.554922352317604,0.702035892453497
X5032.64,FACT complex subunit SSRP1,SSRP1,Q08945,6749,SSRP1,0.160889201964028,0.00172090002532797,0.00483186038119219,0.129453460466845,0.000902290970646774,0.00341665554852221,0.6723356811744,1.69870562968503e-07,1.55764855461245e-06,0.463206980018085,0.00113685293539082,0.00883622603430378
X11396.39,"Dynein intermediate chain 1, axonemal",DNAI1,Q9UI46,27019,DNAI1,-0.169099027083681,0.00175792199608078,0.00492055136770061,-0.185440908247939,1.417912303937e-05,8.91610827232609e-05,-0.812966309746745,1.11911516165277e-09,1.8341335364282e-08,-0.646910328144083,9.39492250723733e-06,0.000249866598221203
X12975.11,"Keratin, type I cytoskeletal 20",Keratin 20,P35900,54474,KRT20,-0.253447689265548,6.30104261929107e-07,3.71095550684102e-06,-0.0430056464489063,0.334923528272637,0.458636302231944,0.022095874229838,0.868374002045654,0.904226816056171,-0.247898250318475,0.09951449184346,0.228535022362971
X8785.1,Armadillo repeat-containing protein 5:Armadillo Repeat Domain 5,ARMC5:ARM 5,Q96C12,79798,ARMC5,0.469056053780733,8.06037614461251e-19,1.57809094031278e-17,0.264257837390409,1.2338384023101e-09,1.90981311673811e-08,0.52623750538653,6.4963322299246e-05,0.000293387971780385,0.422404321157575,0.00439831429166219,0.0243961628857587
X12554.10,DNA repair protein RAD51 homolog 4,RA51D,O75771,5892,RAD51D,0.299160985892852,1.96892270787495e-07,1.27574920356405e-06,0.190215098199067,0.000268279043712014,0.00117640035874687,0.400393854701654,0.00727578087141621,0.0174061283462811,0.202308436462419,0.215873772225545,0.385359686052698
X13268.45,Protein Wnt-5a,WNT5A,P41221,7474,WNT5A,-0.153908584851965,0.00118137554265856,0.00347887746665655,0.107945695176354,0.0155781055699089,0.038234180568879,0.213374223525218,0.107551207328364,0.16988681768135,0.133378173123904,0.370969888234739,0.542890074822717
X6259.60,Tenascin,Tenascin,P24821,3371,TNC,0.000866316392459325,0.982945975162003,0.986213385605755,0.0435671317925875,0.272033510529038,0.391149414504238,-0.222297649752977,0.0407346934731728,0.0751906255036529,-0.189699843181223,0.122879611386605,0.262423321015497
X11458.30,Poly(rC)-binding protein 1,PCBP1,Q15365,5093,PCBP1,0.156602865896324,0.00107846034447587,0.00320178964564884,0.16743468931681,0.000110581558534762,0.000541984309895681,0.792353938389818,4.79173190579744e-09,6.72699727240245e-08,0.397147474449492,0.00390935654757501,0.0224756974846297
X13129.40,Low-density lipoprotein receptor,LDLR,P01130,3949,LDLR,-0.178745805200135,0.00159471802217071,0.00452315479741764,-0.10348206214723,0.0405450584708094,0.0840607909452041,-0.331231906614227,0.0260148093792299,0.0518863654028474,-0.258528782816816,0.117879802249924,0.254446152413126
